what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1346720759734
locale,sysinfo,,,"zh_CN",1346720759734
processors,sysinfo,,,"4",1346720759734
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346720759734
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1346720759734
java.specification.name,sysinfo,,,"Java Platform API Specification",1346720759734
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346720759734
java.specification.version,sysinfo,,,"1.6",1346720759734
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1346720759734
java.version,sysinfo,,,"1.6.0_22",1346720759734
java.vm.info,sysinfo,,,"mixed mode",1346720759734
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1346720759734
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346720759734
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346720759734
java.vm.specification.version,sysinfo,,,"1.0",1346720759734
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346720759734
java.vm.version,sysinfo,,,"17.1-b03",1346720759734
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1346720759734
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1346720760218
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346720760343
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1346720760375
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1346720760515
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1346720760515
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1346720760578
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1346720760625
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1346720761187
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1346720761218
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1346720761437
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1346720761468
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1346720761484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346720761546
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1346720761968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346720785031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346720871890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346720871890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346720871906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346721663671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346721664968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346722601843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346722602312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346724505375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346724506390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346724507828
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346724508140
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1346724510703
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1346728426640
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1346728426640
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1346728426640
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1346728426640
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1346728426640
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1346728426640
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1346728426640
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1346728426640
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1346728426640
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1346728426640
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1346728426640
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1346728426640
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1346728426656
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1346728426656
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1346728426656
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1346728426656
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1346728426656
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1346728426656
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1346728426656
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1346728426656
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1346728426656
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1346728426656
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1346728426656
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1346728426671
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1346728426671
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1346728426671
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1346728426671
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1346728426671
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1346728426671
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1346728426671
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1346728426671
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1346728426671
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1346728426671
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1346728426671
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1346728426687
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1346728426687
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1346728426687
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1346728426718
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1346728426718
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1346728426718
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1346728426718
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1346728426718
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1346728426734
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1346728426734
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1346728426734
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1346728426734
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1346728426734
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1346728426734
