what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346982215328
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346982215328
java.vm.specification.version,sysinfo,,,"1.0",1346982215328
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346982215328
java.vm.version,sysinfo,,,"17.1-b03",1346982215328
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1346982215390
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1346982215531
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1346982215906
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346982216203
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1346982216234
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1346982216343
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1346982216343
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1346982216593
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1346982216656
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1346982216953
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1346982217125
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1346982217265
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1346982217265
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1346982217328
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1346982217453
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1346982217593
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1346982217609
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1346982217625
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1346982219781
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1346982219812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982470968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982552796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982553890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982556203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982556875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982651453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982652078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982699640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982700250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346982712406
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1346982715687
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1346982715703
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1346982715843
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1346982718125
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1346982719796
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1346982719828
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1346982720000
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1346982720265
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1346982724859
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1346982726031
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1346982726093
